Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football League Div.8,26 Jun,15:30,Marlay Pk,Ballinteer St Johns B,"
										2-7
									","
										7-7
									",Ranelagh Gaels,Philip Carr-Round Towers C
U16 Football League Div.8,26 Jun,15:30,St Aidans School,Whitehall Colmcille B,"
										3-12
									","
										5-11
									",St Peters B,Kevin McDonnell - St Vincents
U16 Football League Div.8,26 Jun,15:30,Shanganagh Park,Cuala B,"
										3-12
									","
										4-8
									",St Agnes Crumlin Robert Emmets,Richard Sheil Nh. Olaf
U16 Football League Div.8,26 Jun,14:00,Collinstown,Na Fianna B,"
										7-21
									","
										3-6
									",Fingallians B,Terry Carton  Naomh Fionnbarra
U16 Football League Div.8,19 Jun,15:30,Cathal Brugha Barracks,Ranelagh Gaels,"
										11-7
									","
										0-2
									",Fingallians B,Lee Moroney St Annes
U16 Football League Div.8,19 Jun,15:30,Pearse Park,St Agnes Crumlin Robert Emmets,"
										4-8
									","
										0-14
									",Ballinteer St Johns B,John Rutherford  Ballyboden St Enda
U16 Football League Div.8,19 Jun,15:30,Garristown,St Peters B,"
										4-17
									","
										5-5
									",Na Fianna B,Kenneth Rooney Naomh Fionnbarra
U16 Football League Div.8,19 Jun,15:30,St Aidans School,Whitehall Colmcille B,"
										11-4
									","
										17-12
									",Cuala B,Chris McGinn Clontarf
U16 Football League Div.1,17 Aug,19:00,Finglas,Erins Isle A,"
										W/O
									","
										W/O
									",St Patricks D A,Dave Moore Nh Barrog
U16 Football League Div.1,17 Aug,19:00,12th Lock,Lucan Sarsfields A,"
										5-11
									","
										1-14
									",Clontarf A,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.1,17 Aug,19:00,Silver Park,Kilmacud Crokes A,"
										2-17
									","
										2-8
									",Thomas Davis,Seamus Farrelly  Ballinteer St. John
U16 Football League Div.1,17 Aug,19:00,Dolphin Park,Templeogue Synge Street A,"
										
									","
										
									",Ballyboden St Endas A,Ronnie Malone-St Marys
U16 Football League Div.1,07 Aug,15:30,Kiltipper Rd,Thomas Davis,"
										3-11
									","
										1-10
									",Erins Isle A,Daniel Hussey  Geraldine P Moran
U16 Football League Div.1,07 Aug,15:30,Ballamastone-Donabate,St Patricks D A,"
										1-9
									","
										5-11
									",Kilmacud Crokes A,Eamon Bryce Whitehall Colmcille
U16 Football League Div.1,07 Aug,15:30,St Annes 23,Clontarf A,"
										10-11
									","
										1-6
									",Templeogue Synge Street A,Adrian Kavanagh Naomh Mearnog
U16 Football League Div.1,07 Aug,15:30,Ballycullen,Ballyboden St Endas A,"
										2-8
									","
										3-8
									",Lucan Sarsfields A,Philip Carr-Round Towers C
U16 Football League Div.1,13 Jul,19:30,12th Lock,Lucan Sarsfields A,"
										2-14
									","
										0-9
									",St Patricks D A,Ronnie Malone-St Marys
U16 Football League Div.1,13 Jul,19:30,Silver Park,Kilmacud Crokes A,"
										4-10
									","
										0-9
									",Ballyboden St Endas A,Seamus Farrelly  Ballinteer St. John
U16 Football League Div.1,13 Jul,19:30,St Annes 23,Clontarf A,"
										2-15
									","
										2-9
									",Erins Isle A,Luke Lacey Na Fianna
U16 Football League Div.1,13 Jul,19:30,Dolphin Park,Templeogue Synge Street A,"
										1-10
									","
										2-12
									",Thomas Davis,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.1,10 Jul,15:30,Finglas,Erins Isle A,"
										0-8
									","
										2-13
									",Kilmacud Crokes A,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.1,10 Jul,15:30,Kiltipper Rd,Thomas Davis,"
										3-9
									","
										0-12
									",Lucan Sarsfields A,Darren Malone St Marys
U16 Football League Div.1,10 Jul,15:30,Ballamastone-Donabate,St Patricks D A,"
										5-13
									","
										2-9
									",Templeogue Synge Street A,David O Connor Fingal Ravens
U16 Football League Div.1,10 Jul,15:30,Ballycullen,Ballyboden St Endas A,"
										W/O
									","
										W/O
									",Clontarf A,Dave O Donovan St Marks
U16 Football League Div.1,29 Jun,19:30,12th Lock,Lucan Sarsfields A,"
										4-12
									","
										1-6
									",Erins Isle A,Ger Delaney Ballyboden St Enda
U16 Football League Div.1,29 Jun,19:30,Dolphin Park,Templeogue Synge Street A,"
										1-9
									","
										3-13
									",Kilmacud Crokes A,John Rutherford  Ballyboden St Enda
U16 Football League Div.1,29 Jun,19:30,St Annes 23,Clontarf A,"
										2-9
									","
										7-11
									",St Patricks D A,Danny Harrington St Sylvesters
U16 Football League Div.1,29 Jun,19:30,Ballycullen,Ballyboden St Endas A,"
										3-6
									","
										3-14
									",Thomas Davis,Ray McBride Round Towers C
U16 Football League Div.1,26 Jun,15:30,Finglas,Erins Isle A,"
										2-14
									","
										4-7
									",Templeogue Synge Street A,Joe Dromgoole Fingallians
U16 Football League Div.1,26 Jun,15:30,Ballamastone-Donabate,St Patricks D A,"
										2-6
									","
										1-12
									",Ballyboden St Endas A,Derek Doran  St Colmcilles
U16 Football League Div.1,26 Jun,15:30,Silver Park,Kilmacud Crokes A,"
										3-9
									","
										1-14
									",Lucan Sarsfields A,Dave O Donovan St Marks
U16 Football League Div.1,26 Jun,15:30,Kiltipper Rd,Thomas Davis,"
										6-10
									","
										0-5
									",Clontarf A,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.1,19 Jun,15:30,12th Lock,Lucan Sarsfields A,"
										2-4
									","
										2-10
									",Templeogue Synge Street A,Craig Curtis  Round Towers C
U16 Football League Div.1,19 Jun,15:30,St Annes 23,Clontarf A,"
										2-10
									","
										8-15
									",Kilmacud Crokes A,Sean McCarthy-St Vincents
U16 Football League Div.1,19 Jun,15:30,Ballycullen,Ballyboden St Endas A,"
										3-13
									","
										1-9
									",Erins Isle A,Philip Carr-Round Towers C
U16 Football League Div.1,19 Jun,15:30,Ballamastone-Donabate,St Patricks D A,"
										1-14
									","
										0-13
									",Thomas Davis,Derek Doran  St Colmcilles
U16 Football League Div.7,17 Aug,19:30,Man O War,Man O War,"
										W/O
									","
										W/O
									",Craobh Chiarain,TBC
U16 Football League Div.7,17 Aug,19:00,Ballamastone-Donabate,St Patricks D B,"
										W/O
									","
										W/O
									",Round Towers L,Danny Harrington St Sylvesters
U16 Football League Div.7,17 Aug,19:00,Saggart,St Marys S B,"
										W/O
									","
										W/O
									",Skerries Harps B,Ray McBride Round Towers C
U16 Football League Div.7,17 Aug,19:00,Malahide Castle,St Sylvesters B,"
										W/O
									","
										W/O
									",Templeogue Synge Street B,David Cullen Fingallians
U16 Football League Div.7,07 Aug,15:30,Clonshaugh,Craobh Chiarain,"
										W/O
									","
										W/O
									",St Patricks D B,TBC
U16 Football League Div.7,07 Aug,15:30,Lusk,Round Towers L,"
										4-9
									","
										5-9
									",Man O War,Colm McCarthy-St Vincents
U16 Football League Div.7,07 Aug,13:45,Townparks,Skerries Harps B,"
										2-7
									","
										7-8
									",St Sylvesters B,John O Brien O Dwyers
U16 Football League Div.7,07 Aug,13:45,Dolphin Park,Templeogue Synge Street B,"
										W/O
									","
										W/O
									",St Marys S B,Dave O Donovan St Marks
U16 Football League Div.7,13 Jul,19:30,Saggart,St Marys S B,"
										4-8
									","
										4-12
									",Round Towers L,Adam Kelly - Lucan Sarsfields
U16 Football League Div.7,13 Jul,19:30,Man O War,Man O War,"
										W/O
									","
										W/O
									",Templeogue Synge Street B,Robert Carthy St Maurs
U16 Football League Div.7,13 Jul,19:30,Clonshaugh,Craobh Chiarain,"
										W/O
									","
										W/O
									",St Sylvesters B,Dave Foley St Peregrines
U16 Football League Div.7,13 Jul,19:30,Ballamastone-Donabate,St Patricks D B,"
										1-11
									","
										5-11
									",Skerries Harps B,Dermot Deasy Ballymun Kickhams
U16 Football League Div.7,10 Jul,15:30,Townparks,Skerries Harps B,"
										1-3
									","
										8-13
									",Man O War,Ernie Brenner St Sylvesters
U16 Football League Div.7,10 Jul,15:30,Lusk,Round Towers L,"
										W/O
									","
										W/O
									",Craobh Chiarain,Paul Wilde Skerries Harps
U16 Football League Div.7,10 Jul,15:30,Dolphin Park,Templeogue Synge Street B,"
										W/O
									","
										W/O
									",St Patricks D B,John Doherty Robert Emmets
U16 Football League Div.7,10 Jul,15:30,Malahide Castle,St Sylvesters B,"
										W/O
									","
										W/O
									",St Marys S B,Adrian Kavanagh Naomh Mearnog
U16 Football League Div.7,29 Jun,19:45,Lusk,Round Towers L,"
										7-16
									","
										0-6
									",Skerries Harps B,David O Connor Fingal Ravens
U16 Football League Div.7,29 Jun,19:30,Ballamastone-Donabate,St Patricks D B,"
										
									","
										
									",St Marys S B,Damien Gilmore Skerries Harps
U16 Football League Div.7,29 Jun,19:30,Clonshaugh,Craobh Chiarain,"
										W/O
									","
										W/O
									",Templeogue Synge Street B,David Cullen Fingallians
U16 Football League Div.7,29 Jun,19:30,Man O War,Man O War,"
										4-15
									","
										1-10
									",St Sylvesters B,Robert Carthy St Maurs
U16 Football League Div.7,26 Jun,15:45,Malahide Castle,St Sylvesters B,"
										W/O
									","
										W/O
									",St Patricks D B,Robert Fennelly  Trinity Gaels
U16 Football League Div.7,26 Jun,15:30,Saggart,St Marys S B,"
										2-3
									","
										5-11
									",Man O War,Tom Curran Faughs
U16 Football League Div.7,26 Jun,15:30,Dolphin Park,Templeogue Synge Street B,"
										4-2
									","
										2-13
									",Round Towers L,Ray McBride Round Towers C
U16 Football League Div.7,26 Jun,14:00,Townparks,Skerries Harps B,"
										W/O
									","
										W/O
									",Craobh Chiarain,Paul Wilde Skerries Harps
U16 Football League Div.7,19 Jun,15:30,Man O War,Man O War,"
										2-12
									","
										2-10
									",St Patricks D B,Aaron Maughan Fingallians
U16 Football League Div.7,19 Jun,15:30,Clonshaugh,Craobh Chiarain,"
										1-8
									","
										3-10
									",St Marys S B,Luke Lacey Na Fianna
U16 Football League Div.7,19 Jun,15:30,Lusk,Round Towers L,"
										4-5
									","
										3-7
									",St Sylvesters B,Robert Carthy St Maurs
U16 Football League Div.7,19 Jun,15:30,Dolphin Park,Templeogue Synge Street B,"
										4-13
									","
										5-8
									",Skerries Harps B,John Doherty Robert Emmets
U16 Football League Div.3,17 Aug,19:00,Pairc Ciceam,Ballymun Kickhams,"
										4-13
									","
										2-7
									",Ballinteer St Johns A,Derek Doran St Colmcilles
U16 Football League Div.3,17 Aug,19:00,Russell Park,St Brigids,"
										1-13
									","
										1-14
									",St Vincents,Sean Dunican - Nh. OP/ER
U16 Football League Div.3,17 Aug,19:00,Garristown,St Peters A,"
										1-10
									","
										5-15
									",Na Fianna A,Barry Tiernan O Dwyers
U16 Football League Div.3,17 Aug,19:00,Community Centre,Round Towers C,"
										2-14
									","
										5-9
									",Naomh Barrog,John Rutherford Ballyboden St Enda
U16 Football League Div.3,07 Aug,15:30,PNU,St Vincents,"
										3-11
									","
										0-14
									",Ballymun Kickhams,Conor Flaherty - Raheny
U16 Football League Div.3,07 Aug,15:30,Marlay Pk,Ballinteer St Johns A,"
										W/O
									","
										W/O
									",St Brigids,Craig Curtis  Round Towers C
U16 Football League Div.3,07 Aug,15:30,Collinstown,Na Fianna A,"
										3-16
									","
										1-4
									",Round Towers C,Dermot Deasy Ballymun Kickhams
U16 Football League Div.3,07 Aug,15:30,St Annes 14,Naomh Barrog,"
										2-7
									","
										0-15
									",St Peters A,Robert Fennelly Trinity Gaels
U16 Football League Div.3,13 Jul,19:30,Russell Park,St Brigids,"
										1-10
									","
										1-7
									",Na Fianna A,Brian O Connor Westmanstown Gaels
U16 Football League Div.3,13 Jul,19:30,PNU,St Vincents,"
										4-11
									","
										1-11
									",St Peters A,Ernie Brenner St Sylvesters
U16 Football League Div.3,13 Jul,19:30,Pairc Ciceam,Ballymun Kickhams,"
										8-10
									","
										1-7
									",Naomh Barrog,Mark Hanley - Lucan Sarsfields
U16 Football League Div.3,13 Jul,19:30,Community Centre,Round Towers C,"
										W/O
									","
										W/O
									",Ballinteer St Johns A,Gerard Cooper Lucan Sarsfields
U16 Football League Div.3,10 Jul,15:30,Marlay Pk,Ballinteer St Johns A,"
										5-7
									","
										3-24
									",St Vincents,Dave O Donovan St Marks
U16 Football League Div.3,10 Jul,15:30,Collinstown,Na Fianna A,"
										1-13
									","
										4-11
									",Ballymun Kickhams,Damien Burnett Craobh Chiarain
U16 Football League Div.4,17 Aug,19:00,Rolestown,Fingal Ravens,"
										W/O
									","
										W/O
									",Fingallians A,Ernie Brenner St Sylvesters
U16 Football League Div.4,17 Aug,19:00,Pairc O Ruairc-Balkill Road,Beann Eadair,"
										2-15
									","
										3-11
									",Kilmacud Crokes B,George Williams -Trinity Gaels
U16 Football League Div.3,10 Jul,15:30,Garristown,St Peters A,"
										W/O
									","
										W/O
									",Round Towers C,Jason Buckley Setanta
U16 Football League Div.3,10 Jul,15:30,St Annes 14,Naomh Barrog,"
										4-8
									","
										3-18
									",St Brigids,Dave Foley St Peregrines
U16 Football League Div.3,29 Jun,19:30,Pairc Ciceam,Ballymun Kickhams,"
										9-9
									","
										1-6
									",Round Towers C,Derek Doran St Colmcilles
U16 Football League Div.3,29 Jun,19:30,PNU,St Vincents,"
										4-11
									","
										1-10
									",Na Fianna A,Damien Burnett Craobh Chiarain
U16 Football League Div.3,29 Jun,19:30,Russell Park,St Brigids,"
										2-13
									","
										0-8
									",St Peters A,Eoin Crossen Castleknock
U16 Football League Div.4,17 Aug,19:00,Pairc Mearnog,Naomh Mearnog,"
										1-5
									","
										2-10
									",Ballyboden St Endas B,Brian Doran St Colmcilles
U16 Football League Div.4,17 Aug,19:00,Ridgewood Park,Thomas Ashe,"
										6-12
									","
										2-6
									",Naomh Olaf,Danny Harrington St Sylvesters
U16 Football League Div.4,07 Aug,15:30,Balheary,Fingallians A,"
										9-13
									","
										3-2
									",Naomh Mearnog,Derek Doran  St Colmcilles
U16 Football League Div.4,07 Aug,15:30,Pc Ui Bhriain,Naomh Olaf,"
										2-7
									","
										4-9
									",Beann Eadair,John Doherty Robert Emmets
U16 Football League Div.3,29 Jun,19:30,Marlay Pk,Ballinteer St Johns A,"
										3-11
									","
										4-12
									",Naomh Barrog,Tomas O Neill Kilmacud Crokes
U16 Football League Div.3,26 Jun,15:30,Garristown,St Peters A,"
										4-8
									","
										2-9
									",Ballymun Kickhams,David O Connor Fingal Ravens
U16 Football League Div.3,26 Jun,15:30,Collinstown,Na Fianna A,"
										9-16
									","
										1-5
									",Ballinteer St Johns A,Terry Carton Naomh Fionnbarra
U16 Football League Div.3,26 Jun,15:30,Community Centre,Round Towers C,"
										5-9
									","
										1-12
									",St Brigids,Mark Hanley - Lucan Sarsfields
U16 Football League Div.3,26 Jun,15:30,St Annes 14,Naomh Barrog,"
										1-14
									","
										2-13
									",St Vincents,Conor Flaherty - Raheny
U16 Football League Div.4,07 Aug,14:00,Ballycullen,Ballyboden St Endas B,"
										W/O
									","
										W/O
									",Fingal Ravens,Philip Carr-Round Towers C
U16 Football League Div.4,04 Aug,19:30,Ridgewood Park,Kilmacud Crokes B,"
										7-9
									","
										3-15
									",Thomas Ashe,Derek Doran  St Colmcilles
U16 Football League Div.4,13 Jul,19:30,Pairc O Ruairc-Balkill Road,Beann Eadair,"
										2-12
									","
										1-11
									",Fingallians A,George Williams -Trinity Gaels
U16 Football League Div.4,13 Jul,19:30,Pairc Mearnog,Naomh Mearnog,"
										3-9
									","
										4-13
									",Naomh Olaf,David Cullen Fingallians
U16 Football League Div.4,13 Jul,19:30,Silver Park,Kilmacud Crokes B,"
										W/O
									","
										W/O
									",Fingal Ravens,John Rutherford  Ballyboden St Enda
U16 Football League Div.3,19 Jun,15:30,Russell Park,St Brigids,"
										1-9
									","
										3-10
									",Ballymun Kickhams,Sean Dunican - Nh. OP/ER
U16 Football League Div.3,19 Jun,15:30,PNU,St Vincents,"
										3-16
									","
										2-5
									",Round Towers C,Damien Burnett Craobh Chiarain
U16 Football League Div.3,19 Jun,15:30,Marlay Pk,Ballinteer St Johns A,"
										5-5
									","
										3-17
									",St Peters A,Richard Sheil Nh. Olaf
U16 Football League Div.3,19 Jun,15:30,Collinstown,Na Fianna A,"
										2-9
									","
										1-7
									",Naomh Barrog,Joe Dromgoole Fingallians
U16 Football League Div.4,13 Jul,19:30,Ridgewood Park,Thomas Ashe,"
										W/O
									","
										W/O
									",Ballyboden St Endas B,Danny Harrington St Sylvesters
U16 Football League Div.4,10 Jul,15:30,Pc Ui Bhriain,Naomh Olaf,"
										3-11
									","
										4-10
									",Kilmacud Crokes B,Conor Flannery Geraldine P Moran
U16 Football League Div.4,10 Jul,15:30,Balheary,Fingallians A,"
										W/O
									","
										W/O
									",Thomas Ashe,Brian Doran St Colmcilles
U16 Football League Div.4,10 Jul,15:30,Rolestown,Fingal Ravens,"
										11-15
									","
										2-8
									",Naomh Mearnog,PJ Murray-St Finians S
U16 Football League Div.4,10 Jul,14:00,Ballycullen,Ballyboden St Endas B,"
										4-8
									","
										2-9
									",Beann Eadair,Dave O Donovan St Marks
U16 Football League Div.4,29 Jun,19:30,Silver Park,Kilmacud Crokes B,"
										5-12
									","
										2-17
									",Fingallians A,Paul Cullivan St Annes
U16 Football League Div.4,29 Jun,19:30,Pairc O Ruairc-Balkill Road,Beann Eadair,"
										0-4
									","
										2-19
									",Fingal Ravens,Jason Buckley Setanta
U16 Football League Div.4,29 Jun,19:30,Pc Ui Bhriain,Naomh Olaf,"
										2-13
									","
										2-12
									",Ballyboden St Endas B,Shay Hurson-Lucan Sarsfields
U16 Football League Div.4,29 Jun,19:30,Ridgewood Park,Thomas Ashe,"
										2-13
									","
										5-12
									",Naomh Mearnog,Robert Fennelly  Trinity Gaels
U16 Football League Div.4,26 Jun,15:30,Balheary,Fingallians A,"
										W/O
									","
										W/O
									",Naomh Olaf,PJ Murray-St Finians S
U16 Football League Div.4,26 Jun,15:30,Pairc Mearnog,Naomh Mearnog,"
										5-19
									","
										3-4
									",Beann Eadair,Sean McCarthy-St Vincents
U16 Football League Div.4,26 Jun,15:30,Ballycullen,Ballyboden St Endas B,"
										3-6
									","
										5-9
									",Kilmacud Crokes B,Anthony Clinton-Croi Ro Naofa
U16 Football League Div.4,25 Jun,19:00,Rolestown,Fingal Ravens,"
										2-19
									","
										0-10
									",Thomas Ashe,Ian Howley-O Dwyers
U16 Football League Div.4,19 Jun,15:30,Pairc O Ruairc-Balkill Road,Beann Eadair,"
										W/O
									","
										W/O
									",Thomas Ashe,George Williams -Trinity Gaels
U16 Football League Div.4,19 Jun,15:30,Silver Park,Kilmacud Crokes B,"
										4-11
									","
										2-5
									",Naomh Mearnog,Caomhan Bermingham Nh. Olaf
U16 Football League Div.4,19 Jun,15:30,Pc Ui Bhriain,Naomh Olaf,"
										0-8
									","
										7-18
									",Fingal Ravens,Robert Moore St Judes
U16 Football League Div.4,19 Jun,15:30,Balheary,Fingallians A,"
										5-15
									","
										1-6
									",Ballyboden St Endas B,Brian Moore Craobh Chiaran
U16 Football League Div.5,17 Aug,19:00,Sean Moore Park,Clanna Gael Fontenoy,"
										6-11
									","
										2-11
									",St Annes,Damien Burnett  Craobh Chiarain
U16 Football League Div.5,17 Aug,19:00,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										1-9
									","
										1-10
									",St Maurs,Kenneth Rooney Naomh Fionnbarra
U16 Football League Div.5,17 Aug,19:00,Arthur Griffith Park,Lucan Sarsfields B,"
										1-3
									","
										10-22
									",Parnells,Dave O Donovan St Marks
U16 Football League Div.5,17 Aug,19:00,Fairview Park 3,Scoil Ui Chonaill,"
										4-10
									","
										3-8
									",St Oliver Plunkett ER,Nicola Kearney O Tooles
U16 Football League Div.5,07 Aug,15:30,Rush,St Maurs,"
										6-13
									","
										1-4
									",Scoil Ui Chonaill,PJ Murray-St Finians S
U16 Football League Div.5,07 Aug,15:30,Bohernabreena,St Annes,"
										3-13
									","
										1-5
									",Lucan Sarsfields B,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.5,07 Aug,15:30,Chanel,Parnells,"
										W/O
									","
										W/O
									",Clanna Gael Fontenoy,Damien Burnett  Craobh Chiarain
U16 Football League Div.5,05 Aug,20:30,Martin Savage Park,St Oliver Plunkett ER,"
										4-7
									","
										4-18
									",O Tooles,Ciarán Reilly  Na Fianna
U16 Football League Div.5,13 Jul,19:30,Martin Savage Park,St Oliver Plunkett ER,"
										4-11
									","
										1-12
									",Clanna Gael Fontenoy,Jason Buckley Setanta
U16 Football League Div.5,13 Jul,19:30,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										0-13
									","
										1-12
									",Parnells,Dave Foley St Peregrines
U16 Football League Div.5,13 Jul,19:30,Arthur Griffith Park,Lucan Sarsfields B,"
										3-6
									","
										5-13
									",St Maurs,Eoin Crossen Castleknock
U16 Football League Div.5,13 Jul,19:30,Fairview Park 3,Scoil Ui Chonaill,"
										W/O
									","
										W/O
									",St Annes,TBC
U16 Football League Div.5,10 Jul,15:30,Rush,St Maurs,"
										11-22
									","
										0-6
									",St Oliver Plunkett ER,Dermot Deasy Ballymun Kickhams
U16 Football League Div.5,10 Jul,15:30,Sean Moore Park,Clanna Gael Fontenoy,"
										W/O
									","
										W/O
									",Lucan Sarsfields B,Kevin McDonnell - St Vincents
U16 Football League Div.5,10 Jul,15:30,Bohernabreena,St Annes,"
										2-12
									","
										2-12
									",O Tooles,Dean Alford Round Towers C
U16 Football League Div.5,10 Jul,15:30,Chanel,Parnells,"
										2-9
									","
										1-8
									",Scoil Ui Chonaill,Kevin McDonnell - St Vincents
U16 Football League Div.5,29 Jun,19:30,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										6-14
									","
										1-8
									",Lucan Sarsfields B,Brian Doran St Colmcilles
U16 Football League Div.5,29 Jun,19:30,Martin Savage Park,St Oliver Plunkett ER,"
										3-5
									","
										3-12
									",St Annes,Eamon Bryce Whitehall Colmcille
U16 Football League Div.5,29 Jun,19:30,Rush,St Maurs,"
										0-11
									","
										0-15
									",Parnells,TBC
U16 Football League Div.5,29 Jun,19:30,Fairview Park 3,Scoil Ui Chonaill,"
										3-17
									","
										3-8
									",Clanna Gael Fontenoy,Chris McGinn Clontarf
U16 Football League Div.5,26 Jun,15:30,Sean Moore Park,Clanna Gael Fontenoy,"
										2-3
									","
										7-17
									",O Tooles,Chris McGinn Clontarf
U16 Football League Div.5,26 Jun,15:30,Bohernabreena,St Annes,"
										1-8
									","
										4-7
									",St Maurs,John Rutherford  Ballyboden St Enda
U16 Football League Div.5,26 Jun,15:30,12th Lock,Lucan Sarsfields B,"
										5-9
									","
										0-10
									",Scoil Ui Chonaill,Gavin O Connor Castleknock
U16 Football League Div.5,26 Jun,15:30,Chanel,Parnells,"
										8-15
									","
										1-1
									",St Oliver Plunkett ER,Nicola Kearney O Tooles
U16 Football League Div.5,19 Jun,15:30,Fairview Park 3,Scoil Ui Chonaill,"
										2-6
									","
										3-10
									",O Tooles,Alan Burke Na Dubh Ghall
U16 Football League Div.5,19 Jun,15:30,Martin Savage Park,St Oliver Plunkett ER,"
										4-13
									","
										0-8
									",Lucan Sarsfields B,PJ Murray-St Finians S
U16 Football League Div.5,19 Jun,15:30,Rush,St Maurs,"
										3-11
									","
										1-8
									",Clanna Gael Fontenoy,Ian Howley-O Dwyers
U16 Football League Div.5,19 Jun,15:30,Bohernabreena,St Annes,"
										3-9
									","
										3-11
									",Parnells,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.1,31 Dec,19:30,Marlay Pk,Ballinteer St Johns,"
										
									","
										
									",Ballyboden St Endas A,
U16 Football League Div.1,23 Jun,19:30,Tymon Park,St Judes A,"
										
									","
										
									",Ballinteer St Johns,TBC
U16 Football League Div.1,23 Jun,19:30,Malahide Castle,St Sylvesters A,"
										
									","
										
									",Na Fianna A,TBC
U16 Football League Div.1,23 Jun,19:30,12th Lock,Lucan Sarsfields A,"
										
									","
										
									",St Patricks D,TBC
U16 Football League Div.1,23 Jun,19:30,Silver Park,Kilmacud Crokes A,"
										
									","
										
									",Naomh Barrog A,TBC
U16 Football League Div.1,23 Jun,19:30,St Annes 23,Clontarf A,"
										
									","
										
									",Ballyboden St Endas A,TBC
U16 Football League Div.1,28 May,19:30,St Annes 23,Clontarf A,"
										
									","
										
									",Ballinteer St Johns,TBC
U16 Football League Div.1,28 May,19:30,Ballycullen,Ballyboden St Endas A,"
										
									","
										
									",Kilmacud Crokes A,TBC
U16 Football League Div.1,28 May,19:30,St Annes 12,Naomh Barrog A,"
										
									","
										
									",Lucan Sarsfields A,TBC
U16 Football League Div.1,28 May,19:30,Ballamastone-Donabate,St Patricks D,"
										
									","
										
									",St Sylvesters A,TBC
U16 Football League Div.1,28 May,19:30,Collinstown,Na Fianna A,"
										
									","
										
									",St Judes A,TBC
U16 Football League Div.1,28 Apr,19:00,Marlay Pk,Ballinteer St Johns,"
										
									","
										
									",Na Fianna A,TBC
U16 Football League Div.1,28 Apr,19:00,Tymon Park,St Judes A,"
										
									","
										
									",St Patricks D,TBC
U16 Football League Div.1,28 Apr,19:00,Malahide Castle,St Sylvesters A,"
										
									","
										
									",Naomh Barrog A,TBC
U16 Football League Div.1,28 Apr,19:00,12th Lock,Lucan Sarsfields A,"
										
									","
										
									",Ballyboden St Endas A,TBC
U16 Football League Div.1,28 Apr,19:00,Silver Park,Kilmacud Crokes A,"
										
									","
										
									",Clontarf A,TBC
U16 Football League Div.1,04 Apr,15:30,Silver Park,Kilmacud Crokes A,"
										
									","
										
									",Ballinteer St Johns,TBC
U16 Football League Div.1,04 Apr,15:30,Ballamastone-Donabate,St Patricks D,"
										
									","
										
									",Na Fianna A,TBC
U16 Football League Div.1,04 Apr,15:30,St Annes 23,Clontarf A,"
										
									","
										
									",Lucan Sarsfields A,TBC
U16 Football League Div.1,04 Apr,15:30,Ballycullen,Ballyboden St Endas A,"
										
									","
										
									",St Sylvesters A,TBC
U16 Football League Div.1,04 Apr,15:30,St Annes 12,Naomh Barrog A,"
										
									","
										
									",St Judes A,TBC
U16 Football League Div.1,21 Mar,15:00,Marlay Pk,Ballinteer St Johns,"
										
									","
										
									",St Patricks D,TBC
U16 Football League Div.1,21 Mar,15:00,Collinstown,Na Fianna A,"
										
									","
										
									",Naomh Barrog A,TBC
U16 Football League Div.1,21 Mar,15:00,Tymon Park,St Judes A,"
										
									","
										
									",Ballyboden St Endas A,TBC
U16 Football League Div.1,21 Mar,15:00,Malahide Castle,St Sylvesters A,"
										
									","
										
									",Clontarf A,TBC
U16 Football League Div.1,21 Mar,15:00,12th Lock,Lucan Sarsfields A,"
										
									","
										
									",Kilmacud Crokes A,TBC
U16 Football League Div.1,07 Mar,15:15,12th Lock,Lucan Sarsfields A,"
										4-9
									","
										3-6
									",Ballinteer St Johns,Andrew Lonergan - Castleknock
U16 Football League Div.1,07 Mar,15:00,Ballycullen,Ballyboden St Endas A,"
										
									","
										
									",Na Fianna A,
U16 Football League Div.1,07 Mar,15:00,St Annes 14,Naomh Barrog A,"
										5-8
									","
										0-6
									",St Patricks D,Damien Burnett  Craobh Chiarain
U16 Football League Div.1,07 Mar,15:00,Silver Park,Kilmacud Crokes A,"
										5-16
									","
										1-1
									",St Sylvesters A,Dave O Donovan St Marks
U16 Football League Div.1,07 Mar,15:00,St Annes 23,Clontarf A,"
										1-5
									","
										0-15
									",St Judes A,Sean McCarthy-St Vincents
U16 Football League Div.1,22 Feb,14:30,Marlay Pk,Ballinteer St Johns,"
										1-11
									","
										2-9
									",Naomh Barrog A,Dave O Donovan St Marks
U16 Football League Div.1,22 Feb,14:30,Ballamastone-Donabate,St Patricks D,"
										0-6
									","
										7-13
									",Ballyboden St Endas A,Joe Dromgoole Fingallians
U16 Football League Div.1,22 Feb,14:30,Tymon Park,St Judes A,"
										
									","
										
									",Kilmacud Crokes A,Tiernan Lane Cuala
